,wave,flux,error,model,cont,narrow,broad,fe,out
203,3143.8972,7.0219426,0.7825913,6.774573635607595,6.478533756285543,0.0,0.29603988,0.0,0.0
204,3144.6204,6.8997684,0.778519,6.775596018572546,6.4766299982268585,0.0,0.29896602,0.0,0.0
205,3145.3457,6.9454722,0.78911704,6.776509250788125,6.474721457151803,0.0,0.3017878,0.0,0.0
206,3146.0693,6.6818204,0.77496076,6.77730566975537,6.472818411559493,0.0,0.30448726,0.0,0.0
207,3146.7947,6.3506002,0.7714831,6.7779867465892965,6.470911871949785,0.0,0.30707487,0.0,0.0
208,3147.5186,6.1140575,0.7750392,6.778547352705985,6.46901018038848,0.0,0.30953717,0.0,0.0
209,3148.2444,4.944325,0.7168796,6.778988164993202,6.46710435781089,0.0,0.3118838,0.0,0.0
210,3148.9688,5.4784136,0.73660487,6.779305402922948,6.465203379082998,0.0,0.31410202,0.0,0.0
211,3149.693,6.329718,0.75061333,6.779498705346018,6.463303396183878,0.0,0.3161953,0.0,0.0
212,3150.4192,6.449961,0.77734244,6.779567109107581,6.461399929284659,0.0,0.31816718,0.0,0.0
213,3151.144,6.4326353,0.77922463,6.779509413801893,6.459500659071669,0.0,0.32000875,0.0,0.0
214,3151.8706,7.1606874,0.7908379,6.779324797812618,6.45759790939442,0.0,0.3217269,0.0,0.0
215,3152.596,7.638267,0.79567426,6.779013602400293,6.45569935288476,0.0,0.32331425,0.0,0.0
216,3153.3228,6.664449,0.7962216,6.778574758454839,6.45379795996813,0.0,0.3247768,0.0,0.0
217,3154.0483,6.941792,0.78603286,6.778010195167433,6.451900756032836,0.0,0.32610944,0.0,0.0
218,3154.7737,6.7518473,0.77653897,6.777320216360395,6.450005183878248,0.0,0.32731503,0.0,0.0
219,3155.5015,6.1729774,0.7688471,6.7765026653034806,6.4481042289955735,0.0,0.32839844,0.0,0.0
220,3156.2273,6.733135,0.8388257,6.775563596652899,6.446209370063696,0.0,0.32935423,0.0,0.0
221,3156.955,6.76442,0.86854625,6.774499577089511,6.444310408636294,0.0,0.33018917,0.0,0.0
222,3157.6814,7.375083,0.91653246,6.7733172899939245,6.442416263268155,0.0,0.33090103,0.0,0.0
223,3158.4094,6.337376,0.8920691,6.772013703386326,6.440518656770726,0.0,0.33149505,0.0,0.0
224,3159.136,6.829715,0.89063776,6.77059682139396,6.4386258614921505,0.0,0.33197096,0.0,0.0
225,3159.8628,8.193935,0.8419522,6.769066360951643,6.436733422042113,0.0,0.33233294,0.0,0.0
226,3160.5913,7.2657266,0.8384657,6.767421789444867,6.434837527550641,0.0,0.33258426,0.0,0.0
227,3161.3188,6.6965246,0.832405,6.7656722422782645,6.432945167655157,0.0,0.33272707,0.0,0.0
228,3162.0479,7.0897384,0.8353834,6.763815303406069,6.431049992403338,0.0,0.3327653,0.0,0.0
229,3162.7751,7.2927656,0.8374318,6.761862858393972,6.429160251477544,0.0,0.3327026,0.0,0.0
230,3163.5046,6.963862,0.80658245,6.75980842350979,6.42726579545994,0.0,0.33254263,0.0,0.0
231,3164.2327,6.5048447,0.76894075,6.757666337799183,6.425376135419956,0.0,0.3322902,0.0,0.0
232,3164.9602,6.2809906,0.7757018,6.75543871093341,6.423488731866561,0.0,0.33194998,0.0,0.0
233,3165.69,5.992294,0.7797387,6.753121618562577,6.421596620612977,0.0,0.331525,0.0,0.0
234,3166.4187,5.9469366,0.76961803,6.750729878065152,6.419708032724423,0.0,0.33102185,0.0,0.0
235,3167.1487,7.662786,0.8240225,6.748261341431186,6.417817273714587,0.0,0.33044407,0.0,0.0
236,3167.8772,7.3132944,0.829666,6.745730413966268,6.415931298308462,0.0,0.32979912,0.0,0.0
237,3168.6077,6.3063583,0.8918161,6.743130572087685,6.414041258342186,0.0,0.3290893,0.0,0.0
238,3169.3367,8.032108,1.0835955,6.7404795409047535,6.412155997833007,0.0,0.32832354,0.0,0.0
239,3170.0674,6.937644,1.4590495,6.7377714369820385,6.410267308764341,0.0,0.32750413,0.0,0.0
240,3170.7966,3.6604402,1.6003383,6.735023761855241,6.4083833943473065,0.0,0.32664037,0.0,0.0
241,3171.5261,5.3717813,1.6310512,6.732236210086699,6.40649983642375,0.0,0.32573637,0.0,0.0
242,3172.2576,7.8532963,1.142261,6.72940797885511,6.404612226091362,0.0,0.32479575,0.0,0.0
243,3172.9875,7.4993873,1.1195295,6.726558349630275,6.402729384204783,0.0,0.32382897,0.0,0.0
244,3173.7192,5.739569,1.3068193,6.7236809836351155,6.400843124242949,1e-45,0.32283786,0.0,0.0
245,3174.4492,4.9155564,1.2550992,6.720795539527846,6.3989622568187245,8.122e-42,0.32183328,0.0,0.0
246,3175.181,6.704904,0.9908868,6.717894550929304,6.397077974448439,3.295574e-38,0.32081658,0.0,0.0
247,3175.9119,6.6723313,0.8419597,6.714993872847033,6.395196565594149,8.766999e-35,0.3197973,0.0,0.0
248,3176.6426,6.5051355,0.83373344,6.712097639993038,6.393316770747509,1.5384942e-31,0.31878087,0.0,0.0
249,3177.375,6.9949245,0.8231404,6.709204167937103,6.391433567618194,1.8146739e-28,0.3177706,0.0,0.0
250,3178.1062,7.1254263,0.8618587,6.70633100331561,6.389554489262265,1.3979579e-25,0.3167765,0.0,0.0
251,3178.839,7.908914,0.8558802,6.703472554659762,6.38767200705997,7.220444e-23,0.31580055,0.0,0.0
252,3179.57,5.705282,0.8575875,6.700648896104691,6.385795525915024,2.4240636e-20,0.31485337,0.0,0.0
253,3180.3032,6.5553703,0.8601793,6.697849670719133,6.383914390872942,5.4662196e-18,0.31393528,0.0,0.0
254,3181.0352,7.7078176,0.8598572,6.695093484357793,6.382037373022038,8.0660856e-16,0.3130561,0.0,0.0
