name,RA,DEC,Plate,MJD,FiberID
b'J092721.6+061006',141.84035,6.16835,991,52707,603
b'J103808.7+233124',159.53653,23.5234,2477,54058,395
b'J151104.0+031542',227.767,3.26192,590,52057,176
b'J102236.0+301753',155.65023,30.29808,1956,53437,30
b'J131218.0+351523',198.07519,35.25664,2016,53799,61
b'J081158.1+150622',122.99228,15.10616,2267,53713,34
b'J120933.7+322429',182.39057,32.40822,2004,53737,425
b'J095941.6+491524',149.92336,49.25672,1006,52708,198
b'J104731.8+101736',161.88278,10.29358,2147,53491,605
b'J135851.6+251145',209.71536,25.19598,2119,53792,510
b'J100743.7+500754',151.93223,50.13181,8175,57039,283
b'J134749.8+404545',206.95755,40.76258,1377,53050,554
b'J130021.7+282402',195.09058,28.40078,2011,53499,114
b'J144111.3-021225',220.29716,-2.20712,919,52409,23
b'J162257.6+310607',245.7401,31.1021,1420,53146,581
b'J141253.1+101712',213.22142,10.28693,1705,53848,94
b'J134524.3+063847',206.35151,6.64654,1803,54152,104
